VariableName,VariableAcronym,VariableType
forestland_to_grassland__dead_wood,CSC_COL87,Float
forestland_to_grassland__litter,CSC_COL88,Float
forestland_to_grassland__mineral_soil,CSC_COL89,Float
forestland_to_grassland__organic_soil,CSC_COL90,Float
cropland_to_grassland__aboveground_biomass,CSC_COL91,Float
cropland_to_grassland__belowground_biomass,CSC_COL92,Float
cropland_to_grassland__dead_wood,CSC_COL93,Float
cropland_to_grassland__litter,CSC_COL94,Float
cropland_to_grassland__mineral_soil,CSC_COL95,Float
cropland_to_grassland__organic_soil,CSC_COL96,Float
wetland_to_grassland__aboveground_biomass,CSC_COL97,Float
wetland_to_grassland__belowground_biomass,CSC_COL98,Float
wetland_to_grassland__dead_wood,CSC_COL99,Float
wetland_to_grassland__litter,CSC_COL100,Float
wetland_to_grassland__mineral_soil,CSC_COL101,Float
wetland_to_grassland__organic_soil,CSC_COL102,Float
settlement_to_grassland__aboveground_biomass,CSC_COL103,Float
settlement_to_grassland__belowground_biomass,CSC_COL104,Float
settlement_to_grassland__dead_wood,CSC_COL105,Float
settlement_to_grassland__litter,CSC_COL106,Float
settlement_to_grassland__mineral_soil,CSC_COL107,Float
settlement_to_grassland__organic_soil,CSC_COL108,Float
otherland_to_grassland__aboveground_biomass,CSC_COL109,Float
otherland_to_grassland__belowground_biomass,CSC_COL110,Float
otherland_to_grassland__dead_wood,CSC_COL111,Float
otherland_to_grassland__litter,CSC_COL112,Float
otherland_to_grassland__mineral_soil,CSC_COL113,Float
otherland_to_grassland__organic_soil,CSC_COL114,Float
land_to_peat_extraction__aboveground_biomass,CSC_COL115,Float
land_to_peat_extraction__belowground_biomass,CSC_COL116,Float
land_to_peat_extraction__dead_wood,CSC_COL117,Float
land_to_peat_extraction__litter,CSC_COL118,Float
land_to_peat_extraction__mineral_soil,CSC_COL119,Float
land_to_peat_extraction__organic_soil,CSC_COL120,Float
peatland_restoration__aboveground_biomass,CSC_COL121,Float
peatland_restoration__belowground_biomass,CSC_COL122,Float
peatland_restoration__dead_wood,CSC_COL123,Float
peatland_restoration__litter,CSC_COL124,Float
peatland_restoration__mineral_soil,CSC_COL125,Float
peatland_restoration__organic_soil,CSC_COL126,Float
forestland_to_other_wetland__aboveground_biomass,CSC_COL127,Float
forestland_to_other_wetland__belowground_biomass,CSC_COL128,Float
forestland_to_other_wetland__dead_wood,CSC_COL129,Float
forestland_to_other_wetland__litter,CSC_COL130,Float
forestland_to_other_wetland__mineral_soil,CSC_COL131,Float
forestland_to_other_wetland__organic_soil,CSC_COL132,Float
cropland_to_other_wetland__aboveground_biomass,CSC_COL133,Float
cropland_to_other_wetland__belowground_biomass,CSC_COL134,Float
cropland_to_other_wetland__dead_wood,CSC_COL135,Float
cropland_to_other_wetland__litter,CSC_COL136,Float
cropland_to_other_wetland__mineral_soil,CSC_COL137,Float
cropland_to_other_wetland__organic_soil,CSC_COL138,Float
grassland_to_other_wetland__aboveground_biomass,CSC_COL139,Float
grassland_to_other_wetland__belowground_biomass,CSC_COL140,Float
grassland_to_other_wetland__dead_wood,CSC_COL141,Float
grassland_to_other_wetland__litter,CSC_COL142,Float
grassland_to_other_wetland__mineral_soil,CSC_COL143,Float
grassland_to_other_wetland__organic_soil,CSC_COL144,Float
forestland_to_settlement__aboveground_biomass,CSC_COL145,Float
forestland_to_settlement__belowground_biomass,CSC_COL146,Float
forestland_to_settlement__dead_wood,CSC_COL147,Float
forestland_to_settlement__litter,CSC_COL148,Float
forestland_to_settlement__mineral_soil,CSC_COL149,Float
forestland_to_settlement__organic_soil,CSC_COL150,Float
cropland_to_settlement__aboveground_biomass,CSC_COL151,Float
cropland_to_settlement__belowground_biomass,CSC_COL152,Float
cropland_to_settlement__dead_wood,CSC_COL153,Float
cropland_to_settlement__litter,CSC_COL154,Float
cropland_to_settlement__mineral_soil,CSC_COL155,Float
cropland_to_settlement__organic_soil,CSC_COL156,Float
grassland_to_settlement__aboveground_biomass,CSC_COL157,Float
grassland_to_settlement__belowground_biomass,CSC_COL158,Float
grassland_to_settlement__dead_wood,CSC_COL159,Float
grassland_to_settlement__litter,CSC_COL160,Float
grassland_to_settlement__mineral_soil,CSC_COL161,Float
grassland_to_settlement__organic_soil,CSC_COL162,Float
wetland_to_settlement__aboveground_biomass,CSC_COL163,Float
wetland_to_settlement__belowground_biomass,CSC_COL164,Float
wetland_to_settlement__dead_wood,CSC_COL165,Float
wetland_to_settlement__litter,CSC_COL166,Float
wetland_to_settlement__mineral_soil,CSC_COL167,Float
wetland_to_settlement__organic_soil,CSC_COL168,Float
otherland_to_settlement__aboveground_biomass,CSC_COL169,Float
otherland_to_settlement__belowground_biomass,CSC_COL170,Float
otherland_to_settlement__dead_wood,CSC_COL171,Float
otherland_to_settlement__litter,CSC_COL172,Float
otherland_to_settlement__mineral_soil,CSC_COL173,Float
otherland_to_settlement__organic_soil,CSC_COL174,Float
forestland_to_otherland__aboveground_biomass,CSC_COL175,Float
