local dataset name,factor_name,value
DEMO Tallinn,settlement_to_grassland--organic_soil,0
DEMO Tallinn,otherland_to_grassland--aboveground_biomass,0
DEMO Tallinn,otherland_to_grassland--belowground_biomass,0
DEMO Tallinn,otherland_to_grassland--dead_wood,0
DEMO Tallinn,otherland_to_grassland--litter,0
DEMO Tallinn,otherland_to_grassland--mineral_soil,0
DEMO Tallinn,otherland_to_grassland--organic_soil,0
DEMO Tallinn,land_to_peat_extraction--aboveground_biomass,0
DEMO Tallinn,land_to_peat_extraction--belowground_biomass,0
DEMO Tallinn,land_to_peat_extraction--dead_wood,0
DEMO Tallinn,land_to_peat_extraction--litter,0
DEMO Tallinn,land_to_peat_extraction--mineral_soil,0
DEMO Tallinn,land_to_peat_extraction--organic_soil,0
DEMO Tallinn,peatland_restoration--aboveground_biomass,-54.46
DEMO Tallinn,peatland_restoration--belowground_biomass,-12.83
DEMO Tallinn,peatland_restoration--dead_wood,-0.576683022
DEMO Tallinn,peatland_restoration--litter,0
DEMO Tallinn,peatland_restoration--mineral_soil,-1.620139173
DEMO Tallinn,peatland_restoration--organic_soil,-2.25
DEMO Tallinn,forestland_to_other_wetland--aboveground_biomass,0
DEMO Tallinn,forestland_to_other_wetland--belowground_biomass,0
DEMO Tallinn,forestland_to_other_wetland--dead_wood,0
DEMO Tallinn,forestland_to_other_wetland--litter,0
DEMO Tallinn,forestland_to_other_wetland--mineral_soil,-2.67
DEMO Tallinn,forestland_to_other_wetland--organic_soil,-6.1
DEMO Tallinn,cropland_to_other_wetland--aboveground_biomass,-0.109905002
DEMO Tallinn,cropland_to_other_wetland--belowground_biomass,0
DEMO Tallinn,cropland_to_other_wetland--dead_wood,-0.002389685
DEMO Tallinn,cropland_to_other_wetland--litter,0
DEMO Tallinn,cropland_to_other_wetland--mineral_soil,-0.55
DEMO Tallinn,cropland_to_other_wetland--organic_soil,0
DEMO Tallinn,grassland_to_other_wetland--aboveground_biomass,0
DEMO Tallinn,grassland_to_other_wetland--belowground_biomass,0
DEMO Tallinn,grassland_to_other_wetland--dead_wood,0
DEMO Tallinn,grassland_to_other_wetland--litter,0
DEMO Tallinn,grassland_to_other_wetland--mineral_soil,0
DEMO Tallinn,grassland_to_other_wetland--organic_soil,0
DEMO Tallinn,forestland_to_settlement--aboveground_biomass,0
DEMO Tallinn,forestland_to_settlement--belowground_biomass,0
DEMO Tallinn,forestland_to_settlement--dead_wood,0
DEMO Tallinn,forestland_to_settlement--litter,0
DEMO Tallinn,forestland_to_settlement--mineral_soil,-1.13
DEMO Tallinn,forestland_to_settlement--organic_soil,0
DEMO Tallinn,cropland_to_settlement--aboveground_biomass,-54.46
DEMO Tallinn,cropland_to_settlement--belowground_biomass,-12.83
DEMO Tallinn,cropland_to_settlement--dead_wood,-0.612659617
DEMO Tallinn,cropland_to_settlement--litter,0
DEMO Tallinn,cropland_to_settlement--mineral_soil,-1.620139173
DEMO Tallinn,cropland_to_settlement--organic_soil,0
